categories,endDate,location,startDate,title
"[{'name': 'Junior', 'ages': ['-12']}]",19/02/2023,Tennis Victoria | Riddells Creek,19/02/2023,2023 Community - Riddells Creek TC - Juniors Community Series - Feb
"[{'name': 'Junior', 'ages': ['-8', '-11', '-14', '-17']}]",19/02/2023,Tennis Australia | Tanunda SA,19/02/2023,2023 JDS Just 4 Tennis Event #6
"[{'name': 'Junior', 'ages': ['-10']}]",19/02/2023,Tennis Australia | Adelaide,19/02/2023,2023 JDS Seacliff February
"[{'name': 'Junior', 'ages': ['-10']}]",19/02/2023,Tennis Queensland | Gold Coast,19/02/2023,2023 JC Gold Coast Red Ball - Hope Island 1
"[{'name': 'Junior', 'ages': ['-17']}]",26/02/2023,Tennis Queensland | Brisbane,19/02/2023,2023 JDS Metropolitan Region - QTC
"[{'name': 'Open', 'ages': ['16+']}]",26/02/2023,Tennis Queensland | Chinchilla,24/02/2023,2023 Chinchilla Seniors NRT.7 R/R
"[{'name': 'Junior', 'ages': ['-10', '-12', '-14', '-18']}]",26/02/2023,Tennis ACT | Canberra,25/02/2023,2023 JDS North Woden #1
"[{'name': 'Junior', 'ages': ['-17']}]",26/02/2023,Tennis Queensland | Tannum Sands,25/02/2023,2023 JDS Central Region - Tannum Sands
"[{'name': 'Junior', 'ages': ['-12']}]",26/02/2023,Tennis Queensland | Gold Coast,26/02/2023,2023 JC Gold Coast Green Ball - Pro One Tennis
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': ['-10', '-12', '-14', '-16', '-18']}]",26/02/2023,Tennis NSW Central West Region | Blayney,26/02/2023,2023 JDS Central West RMS - Blayney
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': ['-10', '-12', '-14', '-16', '16+']}]",26/02/2023,Tennis NSW North East Region | Sawtell,26/02/2023,2023 JDS North East RMS (Lower) - Coffs Harbour #1
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': ['-10', '-12', '-14', '-16', '16+']}]",26/02/2023,Tennis NSW North East Region | Grafton,26/02/2023,2023 JDS North East RMS (Upper) - Grafton #1
"[{'name': 'Junior', 'ages': ['-8']}, {'name': 'Junior', 'ages': ['-10', '-12', '-14', '-16', '16+']}]",26/02/2023,Tennis NSW North West Region | Gunnedah,26/02/2023,2023 JDS North West RMS - Gunnedah #1
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': ['-10', '-12', '-14', '-16', '16+']}]",26/02/2023,Tennis NSW Northumberland Region | Gosford,26/02/2023,2023 JDS Northumberland RMS - Gosford #1
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': ['-10', '-12', '-14', '-16', '-18']}]",26/02/2023,Tennis NSW South East Region | Kiama,26/02/2023,2023 JDS South East RMS - Kiama
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': ['-10', '-12', '-14', '-16', '-18']}]",26/02/2023,Tennis NSW South West Region | Albury,26/02/2023,2023 JDS South West RMS - Albury
"[{'name': 'Open', 'ages': []}, {'name': 'Open', 'ages': ['16+']}, {'name': 'Junior', 'ages': ['-12', '-14', '-16']}]",5/03/2023,Tennis World Canberra | Canberra,3/03/2023,2023 O3K J125 Tennis World Canberra
"[{'name': 'Open', 'ages': ['13+']}]",5/03/2023,Tennis Queensland | Caloundra,3/03/2023,2023 Open 3K Elite Tennis International Seasons IGA Open
